"Eulaema_nigrita","method","effort","altitude","MAT","MAP","Tseason","Pseason","forest.","lu_het"
38,"Net",2.99573227355399,843,208,1079,1570,25,0.410828025,1.03807915264867
130,"Net",2.99573227355399,843,208,1079,1570,25,0.410828025,1.03807915264867
34,"Net",2.99573227355399,816,210,1068,1505,25,0.453968254,0.999797349347028
15,"Net",2.99573227355399,795,211,1053,1542,26,0.4,1.04278138149873
76,"Net",2.99573227355399,157,244,1108,1507,32,0.092651757,0.910224099834302
38,"Net",2.99573227355399,38,243,1635,1039,10,0.896103896,0.333560212328849
13,"Net",3.04452243772342,38,243,1635,1039,10,0.913242009,0.294972123216011
26,"Net",2.99573227355399,75,241,1599,1082,10,0.953974895,0.18664074392144
41,"Net",3.17805383034795,99,238,1197,1545,51,0.651757188,0.987609664617264
42,"Net",2.99573227355399,65,240,1210,1596,49,0.506410256,1.11810982323976
55,"Net",2.99573227355399,36,240,1230,1583,46,0.682539683,0.852793641323444
41,"Net",2.99573227355399,39,240,1226,1604,47,0.595611285,1.05490624242794
48,"Net",2.99573227355399,68,240,1210,1624,49,0.552050473,1.11588699159762
6,"Net",2.99573227355399,118,240,1395,1311,15,0.867088608,0.476032155519815
9,"Net",2.99573227355399,102,240,1446,1271,16,0.798107256,0.547242331218974
6,"Net",2.99573227355399,87,239,1509,1229,20,0.731629393,0.907717881005561
8,"Net",2.99573227355399,84,240,1541,1205,20,0.387820513,1.21057661422174
7,"Net",3.68887945411394,179,240,1258,1385,16,0.653968254,0.831329452088077
8,"Net",3.68887945411394,179,240,1258,1385,16,0.653968254,0.831329452088077
48,"Net",3.68887945411394,155,241,1255,1385,16,0.68488746,0.760654144217894
27,"Net",3.68887945411394,155,241,1255,1385,16,0.68488746,0.760654144217894
67,"Net",3.68887945411394,155,241,1255,1385,16,0.630573248,0.779017321013379
13,"Net",3.68887945411394,155,241,1255,1385,16,0.630573248,0.779017321013379
4,"Net",2.99573227355399,78,244,1100,1353,22,0.728434505,0.687312848076022
28,"Net",2.99573227355399,78,244,1100,1353,22,0.728434505,0.687312848076022
36,"Net",2.99573227355399,68,244,1118,1328,22,0.734824281,0.706424084177676
18,"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
34,"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
4,"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
22,"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
13,"Net",2.99573227355399,20,249,1126,1405,21,0.057692308,1.12124838973023
86,"Net",2.99573227355399,114,245,1161,1415,21,0.318611987,1.14913785808438
99,"Net",2.99573227355399,577,217,1217,1956,73,0.143312102,0.766105256975399
94,"Net",2.99573227355399,577,217,1217,1956,73,0.148264984,0.786214329789365
26,"Net",2.99573227355399,152,236,1916,1125,16,0.434504792,0.950220688425297
17,"Net",2.99573227355399,229,231,1927,1119,16,0.293375394,0.926045872325834
17,"Net",2.99573227355399,41,245,1633,962,18,0.136507937,1.05628331607259
39,"Net",2.30258509299405,825,200,1135,1278,20,0.041401274,0.576751013559636
145,"Net",2.99573227355399,825,200,1135,1278,20,0.041401274,0.576751013559636
75,"Traps",4.15888308335967,157,249,1296,1195,60,0.234920635,1.21753389888457
117,"Traps",4.15888308335967,157,249,1296,1195,60,0.234920635,1.21753389888457
13,"Net",2.484906649788,625,204,1501,2449,36,0.339622642,1.24571567276589
7,"Net",2.484906649788,625,204,1501,2449,36,0.339622642,1.24571567276589
11,"Net",2.484906649788,625,204,1501,2449,36,0.339622642,1.24571567276589
113,"Net",2.99573227355399,695,205,1055,1322,60,0.225396825,1.23341652839078
71,"Net",2.99573227355399,558,212,1175,1310,58,0.201257862,1.3239333705318
19,"Net",2.99573227355399,394,223,1677,1238,56,0.278846154,1.25140765229091
50,"Net",2.99573227355399,386,224,1678,1230,56,0.302547771,1.22781778370314
45,"Net",2.99573227355399,439,221,1732,1249,55,0.318611987,1.213748148714
65,"Net",2.99573227355399,563,213,1793,1258,59,0.376996805,1.12883187842201
2,"Traps",2.99573227355399,439,221,1732,1249,55,0.299363057,1.23028190255981
38,"Traps",2.99573227355399,642,208,1091,1319,60,0.219745223,1.24876772603314
150,"NetTraps",5.55759996447812,31,249,1349,1125,43,0.01010101,0.340179129189055
307,"Traps",7.32118855673948,1045,193,1476,1902,77,0.118210863,1.22998024453068
0,"Net",3.17805383034795,807,207,1505,1580,76,0.127795527,1.35189672026412
0,"Net",3.17805383034795,807,207,1505,1580,76,0.127795527,1.35189672026412
100,"Net",5.12396397940326,523,209,1486,2517,38,0.352750809,1.24530782953391
165,"Traps",5.52942908751142,24,230,1105,1874,45,0.348101266,0.91672058423512
42,"Traps",5.12396397940326,95,228,1165,1975,48,0.302839117,1.22250687426112
22,"Traps",5.12396397940326,195,222,1245,1998,51,0.413249211,0.860733528168939
34,"Traps",4.43081679884331,90,228,1165,1951,48,0.241269841,1.15849790729125
27,"Traps",4.43081679884331,130,226,1190,1935,49,0.298412698,1.14979407987562
64,"Traps",6.32793678372919,623,197,1312,2402,65,0.009584665,0.428697339091088
22,"Traps",6.32793678372919,623,197,1312,2402,65,0.009584665,0.428697339091088
236,"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
151,"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
181,"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
152,"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
55,"Net",3.58351893845611,514,219,1349,2036,74,0.165605096,1.44710207884612
101,"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
28,"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
22,"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
30,"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
12,"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
120,"NetTraps",4.969813299576,17,230,987,1760,49,0.182170543,0.757106275317399
242,"NetTraps",4.969813299576,429,212,1301,2182,68,0.111111111,0.554330044501654
63,"NetTraps",4.969813299576,703,193,1456,2081,60,0.248387097,0.911710621325934
67,"Traps",4.0943445622221,35,231,991,1802,52,0.00952381,0.579789157779669
76,"Traps",4.0943445622221,31,231,992,1755,51,0.108626198,0.679303769831287
49,"Traps",4.0943445622221,147,230,1187,2183,69,0.003184713,0.183845722847799
60,"Traps",4.0943445622221,167,229,1193,2179,69,0,0.161666923461645
82,"Traps",4.0943445622221,152,230,1188,2173,69,0,0.163735472693089
62,"Traps",4.0943445622221,181,228,1198,2177,69,0.003194888,0.184307651786187
32,"Traps",4.0943445622221,710,193,1454,2112,59,0.22327044,0.848716714340223
30,"Traps",4.0943445622221,699,194,1452,2101,59,0.230283912,0.85730548825498
44,"Traps",4.0943445622221,703,193,1456,2081,60,0.230031949,0.875950139348678
0,"Net",4.43081679884331,1651,135,1836,2285,66,0.123417722,1.01872102855141
31,"Net",4.43081679884331,562,200,1356,2280,68,0,0.980102248688129
19,"Net",4.43081679884331,5,225,2534,2291,44,0.472,0.870147421908204
1054,"Traps",9.7060117479705,576,207,1229,2389,62,0,1.30263752815522
339,"Traps",8.84101431048389,585,206,1240,2369,63,0.022508039,1.21983932727095
348,"Traps",8.84101431048389,496,212,1181,2475,63,0.088888889,1.17350847322332
474,"Traps",10.0196693068255,558,207,1284,2507,58,0.443037975,1.19372892850671
14,"Traps",4.78749174278205,50,243,2150,1146,19,0.408026756,1.38692697584446
24,"Traps",4.78749174278205,242,231,1807,1126,16,0.460063898,0.961378763718827
32,"Traps",4.78749174278205,434,218,1599,1183,15,0.399361022,1.09501245707056
62,"Traps",4.78749174278205,434,218,1599,1183,15,0.399361022,1.09501245707056
128,"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
94,"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
44,"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
36,"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
15,"Net",4.27666611901606,11,232,2432,2175,39,0.95,0.198515243345873
0,"Net",4.27666611901606,0,232,2438,2215,39,0.95,0.198515243345873
12,"Net",4.27666611901606,-3,229,2358,2298,42,1,0
0,"Net",4.27666611901606,39,227,2388,2313,42,1,0
10,"Net",1.6094379124341,551,219,1215,1923,73,0.127388535,0.760430481416435
10,"Net",1.6094379124341,551,219,1215,1923,73,0.127388535,0.760430481416435
148,"Net",3.58351893845611,1140,191,1496,1817,87,0.194357367,1.04231029179078
159,"Net",3.58351893845611,841,209,1411,1806,87,0,0.399767939835731
212,"Net",3.58351893845611,834,208,1416,1878,87,0.009463722,0.472983542725977
89,"Net",3.58351893845611,834,208,1416,1878,87,0.009463722,0.472983542725977
84,"Traps",4.19645245575814,319,233,1154,1980,78,0.831210191,0.490677019289762
82,"NetTraps",5.48063892334199,401,259,623,884,92,0.022435897,1.0589014412872
529,"Traps",4.15888308335967,95,254,1265,1200,61,0.302547771,1.1907681210969
75,"Traps",4.15888308335967,175,247,1316,1208,60,0.133333333,1.00894624984197
64,"Traps",4.15888308335967,175,247,1316,1208,60,0.133333333,1.00894624984197
372,"NetTraps",4.64439089914137,861,209,1560,554,78,0.897763578,0.418377220914662
127,"NetTraps",4.64439089914137,809,213,1522,594,80,0.746031746,0.774823000473393
115,"NetTraps",4.64439089914137,737,215,1524,542,80,0.878594249,0.485109508134249
172,"NetTraps",4.64439089914137,22,263,1429,590,91,0,0.0721163874192723
2,"NetTraps",4.71849887129509,293,197,1833,2750,36,0.667870036,1.00948287750463
5,"NetTraps",4.51085950651685,110,206,1735,2803,36,0.079310345,1.11244376801648
3,"NetTraps",4.51085950651685,120,206,1729,2807,35,0.067857143,0.434193319922084
1,"NetTraps",4.71849887129509,171,203,1678,2866,34,0.817307692,0.616672720873682
1,"NetTraps",4.71849887129509,249,199,1656,2921,33,0.85488959,0.48922799258824
1,"NetTraps",4.71849887129509,755,169,1638,2894,27,0.967948718,0.141801872964365
