"method","effort","altitude","MAT","MAP","Tseason","Pseason","forest.","lu_het"
"Net",2.99573227355399,695,205,1055,1322,60,0.225396825,1.23341652839078
"Net",2.99573227355399,558,212,1175,1310,58,0.201257862,1.3239333705318
"Net",2.99573227355399,394,223,1677,1238,56,0.278846154,1.25140765229091
"Net",2.99573227355399,386,224,1678,1230,56,0.302547771,1.22781778370314
"Net",2.99573227355399,439,221,1732,1249,55,0.318611987,1.213748148714
"Net",2.99573227355399,563,213,1793,1258,59,0.376996805,1.12883187842201
"Traps",2.99573227355399,439,221,1732,1249,55,0.299363057,1.23028190255981
"Traps",2.99573227355399,642,208,1091,1319,60,0.219745223,1.24876772603314
"NetTraps",5.55759996447812,31,249,1349,1125,43,0.01010101,0.340179129189055
"Traps",7.32118855673948,1045,193,1476,1902,77,0.118210863,1.22998024453068
"Net",3.17805383034795,807,207,1505,1580,76,0.127795527,1.35189672026412
"Net",3.17805383034795,807,207,1505,1580,76,0.127795527,1.35189672026412
"Net",5.12396397940326,523,209,1486,2517,38,0.352750809,1.24530782953391
"Traps",5.52942908751142,24,230,1105,1874,45,0.348101266,0.91672058423512
"Traps",5.12396397940326,95,228,1165,1975,48,0.302839117,1.22250687426112
"Traps",5.12396397940326,195,222,1245,1998,51,0.413249211,0.860733528168939
"Traps",4.43081679884331,90,228,1165,1951,48,0.241269841,1.15849790729125
"Traps",4.43081679884331,130,226,1190,1935,49,0.298412698,1.14979407987562
"Traps",6.32793678372919,623,197,1312,2402,65,0.009584665,0.428697339091088
"Traps",6.32793678372919,623,197,1312,2402,65,0.009584665,0.428697339091088
"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
"Net",4.27666611901606,1140,191,1496,1817,87,0.194357367,1.04231029179078
"Net",3.58351893845611,514,219,1349,2036,74,0.165605096,1.44710207884612
"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
"Traps",6.5792512120101,64,240,1208,1593,49,0.321656051,1.18837019802823
"NetTraps",4.969813299576,17,230,987,1760,49,0.182170543,0.757106275317399
"NetTraps",4.969813299576,429,212,1301,2182,68,0.111111111,0.554330044501654
"NetTraps",4.969813299576,703,193,1456,2081,60,0.248387097,0.911710621325934
"Traps",4.0943445622221,35,231,991,1802,52,0.00952381,0.579789157779669
"Traps",4.0943445622221,31,231,992,1755,51,0.108626198,0.679303769831287
"Traps",4.0943445622221,147,230,1187,2183,69,0.003184713,0.183845722847799
"Traps",4.0943445622221,167,229,1193,2179,69,0,0.161666923461645
"Traps",4.0943445622221,152,230,1188,2173,69,0,0.163735472693089
"Traps",4.0943445622221,181,228,1198,2177,69,0.003194888,0.184307651786187
"Traps",4.0943445622221,710,193,1454,2112,59,0.22327044,0.848716714340223
"Traps",4.0943445622221,699,194,1452,2101,59,0.230283912,0.85730548825498
"Traps",4.0943445622221,703,193,1456,2081,60,0.230031949,0.875950139348678
"Net",4.43081679884331,1651,135,1836,2285,66,0.123417722,1.01872102855141
"Net",4.43081679884331,562,200,1356,2280,68,0,0.980102248688129
"Net",4.43081679884331,5,225,2534,2291,44,0.472,0.870147421908204
"Traps",9.7060117479705,576,207,1229,2389,62,0,1.30263752815522
"Traps",8.84101431048389,585,206,1240,2369,63,0.022508039,1.21983932727095
"Traps",8.84101431048389,496,212,1181,2475,63,0.088888889,1.17350847322332
"Traps",10.0196693068255,558,207,1284,2507,58,0.443037975,1.19372892850671
"Traps",4.78749174278205,50,243,2150,1146,19,0.408026756,1.38692697584446
"Traps",4.78749174278205,242,231,1807,1126,16,0.460063898,0.961378763718827
"Traps",4.78749174278205,434,218,1599,1183,15,0.399361022,1.09501245707056
"Traps",4.78749174278205,434,218,1599,1183,15,0.399361022,1.09501245707056
"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
"Traps",4.68213122712422,910,182,1448,2058,60,0.240506329,0.870506234976284
"Net",4.27666611901606,11,232,2432,2175,39,0.95,0.198515243345873
"Net",4.27666611901606,0,232,2438,2215,39,0.95,0.198515243345873
"Net",4.27666611901606,-3,229,2358,2298,42,1,0
"Net",4.27666611901606,39,227,2388,2313,42,1,0
"Net",1.6094379124341,551,219,1215,1923,73,0.127388535,0.760430481416435
"Net",1.6094379124341,551,219,1215,1923,73,0.127388535,0.760430481416435
"Net",3.58351893845611,1140,191,1496,1817,87,0.194357367,1.04231029179078
"Net",3.58351893845611,841,209,1411,1806,87,0,0.399767939835731
"Net",3.58351893845611,834,208,1416,1878,87,0.009463722,0.472983542725977
"Net",3.58351893845611,834,208,1416,1878,87,0.009463722,0.472983542725977
"Traps",4.19645245575814,319,233,1154,1980,78,0.831210191,0.490677019289762
"NetTraps",5.48063892334199,401,259,623,884,92,0.022435897,1.0589014412872
"Traps",4.15888308335967,95,254,1265,1200,61,0.302547771,1.1907681210969
"Traps",4.15888308335967,175,247,1316,1208,60,0.133333333,1.00894624984197
"Traps",4.15888308335967,175,247,1316,1208,60,0.133333333,1.00894624984197
"NetTraps",4.64439089914137,861,209,1560,554,78,0.897763578,0.418377220914662
"NetTraps",4.64439089914137,809,213,1522,594,80,0.746031746,0.774823000473393
"NetTraps",4.64439089914137,737,215,1524,542,80,0.878594249,0.485109508134249
"NetTraps",4.64439089914137,22,263,1429,590,91,0,0.0721163874192723
"NetTraps",4.71849887129509,293,197,1833,2750,36,0.667870036,1.00948287750463
"NetTraps",4.51085950651685,110,206,1735,2803,36,0.079310345,1.11244376801648
"NetTraps",4.51085950651685,120,206,1729,2807,35,0.067857143,0.434193319922084
"NetTraps",4.71849887129509,171,203,1678,2866,34,0.817307692,0.616672720873682
"NetTraps",4.71849887129509,249,199,1656,2921,33,0.85488959,0.48922799258824
"NetTraps",4.71849887129509,755,169,1638,2894,27,0.967948718,0.141801872964365
